product_id,nom_produit,prix_unitaire,quantite_vendue,chiffre_affaires,z_score
5899,Stéphane Tissot Arbois Blanc Les Bruyères 2015,28.1,4.0,112.4,-0.1570768586955834
4604,Catherine et Claude Maréchal Pommard La Chanière 2016,49.0,1.0,49.0,0.5937597089948975
6094,Château de Villeneuve Saumur-Champigny Clos de la Bienboire 2018,13.4,0.0,0.0,-0.6851772197027639
6617,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,9.9,6.0,59.4,-0.8109154008949497
4160,Planeta Sicilia La Segreta Rosso 2017,9.3,7.0,65.1,-0.832470517670753
4228,Domaine de Bellivière Jasnières Les Rosiers 2015,29.9,0.0,0.0,-0.0924115083681737
4629,Marcel Windholtz Eau de Vie de Fraise,52.4,2.0,104.8,0.7159053707244494
4932,Marcel Richaud Cairanne Rouge Les Estrambords 2011,25.7,4.0,102.8,-0.2432973257987966
6887,Gratavinum Priorat 2?r 2017,21.8,0.0,0.0,-0.3834055848415179
4867,Château De La Selve IGP Coteaux de l'Ardèche Maguelonne Rosé 2019,9.9,1.0,9.9,-0.8109154008949497
4047,Pierre Gaillard Côtes-du-Rhône Blanc Les Gendrines 2018,18.3,0.0,0.0,-0.5091437660337037
4173,Maurel Pays d'Oc Chenin-Colombard 2019,5.7,13.0,74.1,-0.9618012183255727
4978,Château Dutruch Grand Poujeaux Moulis 2016,18.5,0.0,0.0,-0.501958727108436
5904,Domaine de Montbourgeau Côtes du Jura Poulsard 2018,18.8,0.0,0.0,-0.4911811687205343
6930,Mouthes Le Bihan Côtes de Duras L'Aimé Chai 2015,8.4,5.0,42.0,-0.864803192834458
4164,Parés Baltà Penedès Mas Petit 2015,7.6,20.0,152.0,-0.8935433485355289
4621,Bernard Baudry Chinon Rouge Les Grézeaux 2017,16.5,9.0,148.5,-0.5738091163611136
4889,Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,25.3,0.0,0.0,-0.2576674036493321
6221,Planeta Sicilia Eruzione 1614 2017,23.5,0.0,0.0,-0.322332753976742
4795,Emile Boeckel Crémant Brut Rosé,12.0,10.0,120.0,-0.7354724921796383
5525,Domaine Chambeyron Vin de Pays des Collines Rhodaniennes Viognier 2016,12.0,0.0,0.0,-0.7354724921796383
5628,Parés Baltà Penedès Hisenda Miret 2013,25.0,0.0,0.0,-0.2684449620372338
4712,Domaine Schoenheitz Crémant d'Alsace Mémoire de Granit Extra Brut,15.8,1.0,15.8,-0.5989567525995507
4892,Jacqueson Rully Rouge Les Chaponnières 2018,20.1,3.0,60.3,-0.4444784157062939
4086,Rimauresq Côtes de Provence Blanc Cru Classé 2019,16.4,4.0,65.6,-0.5774016358237476
4108,Zind-Humbrecht Riesling Herrenweg de Turckheim 2017,31.7,2.0,63.4,-0.0277461580407638
5491,Marc Colin Et Fils Santenay Rouge 2017,26.5,0.0,0.0,-0.2145571700977256
4799,Domaine de la Monardière Vacqueyras Les Deux Monardes 2017,14.9,3.0,44.7,-0.6312894277632558
4683,Château Plaisance Fronton Rosé 2019,9.1,1.0,9.1,-0.8396555565960208
4242,Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018,8.6,14.0,120.4,-0.8576181539091902
6615,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,32.8,0.0,0.0,0.0117715560482087
5544,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,61.6,0.0,0.0,1.0464171612867663
6920,Château Jean Faure Saint-Emilion Grand Cru 2015,50.5,0.0,0.0,0.6476475009344057
4054,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,71.6,10.0,716.0,1.4056691075501542
4105,Emile Boeckel Sylvaner Vieilles Vignes 2019,6.8,5.0,34.0,-0.9222835042366
4358,Champagne Larmandier-Bernier Grand Cru Vieilles Vignes du Levant 2008,77.0,0.0,0.0,1.599665158532384
4074,Domaine de la Jérôme Côtes du Rhône Village 201,12.7,4.0,50.8,-0.7103248559412011
4178,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rosé 2019,11.5,17.0,195.5,-0.7534350894928077
5448,Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017,7.2,0.0,0.0,-0.9079134263860644
5580,Lucien Boillot Puligny-Montrachet 1er Cru Les Perrières 2016,83.7,0.0,0.0,1.840363962528854
5700,"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016",44.5,1.0,44.5,0.4320963331763728
5804,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,25.0,1.0,25.0,-0.2684449620372338
4040,Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018,34.3,0.0,0.0,0.0656593479877169
4258,Domaine Huet Vouvray Le Mont Sec 2017,32.1,5.0,160.5,-0.0133760801902282
5829,Agnès Levet Côte Rôtie Péroline 2017,57.0,3.0,171.0,0.8811612660056078
6129,Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,5.2,0.0,0.0,-0.9797638156387422
4166,Ollieux Romanis Corbières Boutenac Atal Sia 2017,20.5,6.0,123.0,-0.4301083378557584
4170,Ollieux Romanis Corbières Classique 2018,9.0,4.0,36.0,-0.8432480760586546
4246,Domaine Saint-Denis Mâcon Lugny 2017,15.3,7.0,107.1,-0.6169193499127201
5546,Thierry Germain Saumur-Champigny Cuvée Domaine 2018,15.2,6.0,91.2,-0.6205118693753541
6751,Château Simone Palette Blanc 2017,46.5,0.0,0.0,0.5039467224290505
4630,Marcel Windholtz Eau de Vie de Coing,62.4,4.0,249.6,1.0751573169878377
5396,Chili De Martino Gallardia Cinsault 2017,17.1,0.0,0.0,-0.5522539995853103
5803,Château Tour Haut-Caussan Médoc 2015,17.1,3.0,51.3,-0.5522539995853103
5772,Camille Giroud Santenay Rouge 2016,29.7,1.0,29.7,-0.0995965472934414
4656,Thierry Germain Saumur-Champigny Outre Terre 2013,43.0,0.0,0.0,0.3782085412368646
4925,Cave de Castelmaure Corbières Rouge N°3 2017,23.2,12.0,278.4,-0.3331103123646436
6884,Domino Romano Ribera del Duero RDR 2015,46.5,0.0,0.0,0.5039467224290505
4600,Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017,26.5,0.0,0.0,-0.2145571700977256
4913,Jean-Batiste Arena Muscat du Cap Corse 2015,28.0,0.0,0.0,-0.1606693781582173
5799,Château Carbonnieux Graves Blanc 2017,40.2,0.0,0.0,0.2776179962831161
5809,Château Tour De Pez Saint-Estèphe Les Hauts de Pez 2016,17.9,0.0,0.0,-0.5235138438842394
4041,Pierre Gaillard Condrieu 2018,32.7,0.0,0.0,0.008179036585575
4046,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,80.0,6.0,480.0,1.7074407424114004
4729,Emile Boeckel Crémant Brut Blanc de Blancs,8.6,38.0,326.8,-0.8576181539091902
5439,La Préceptorie Maury Sec Rouge Copain Comme Cochon 2018,13.2,18.0,237.6,-0.6923622586280317
6107,Stéphane Tissot Arbois Vin Jaune En Spois 2011,62.4,0.0,0.0,1.0751573169878377
4201,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018,38.0,0.0,0.0,0.1985825681051706
5067,Albert Mann Pinot Noir Grand H 2017,59.9,16.0,958.4,0.9853443304219904
4155,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,14.5,3.0,43.5,-0.6456595056137913
4165,Parés Baltà Penedès Indigena 2017,12.0,3.0,36.0,-0.7354724921796383
5016,Château Tour Des Gendres Bergerac Blanc Cuvée Des Conti 2017,9.3,3.0,27.9,-0.832470517670753
4163,Parés Baltà Penedès Calcari 2018,10.8,3.0,32.4,-0.7785827257312448
5756,Huile d'Olive Extra Vierge Planeta Selezione Chef 3L,42.2,4.0,168.8,0.3494683855357937
4248,Domaine Saint-Denis Mâcon Chardonnay 2017,14.8,12.0,177.6,-0.6348819472258895
4789,Maurice Schoech Pinot Noir 2018,11.1,2.0,22.2,-0.7678051673433431
4939,Oratoire Saint Martin Cairanne Blanc Réserve des Seigneurs 2018,12.9,0.0,0.0,-0.7031398170159333
4687,Cosse-Maisonneuve Cahors Le Sid 2014,30.1,0.0,0.0,-0.0852264694429058
5486,Decelle-Villa Meursault 2018,49.5,9.0,445.5,0.6117223063080669
6572,Decelle-Villa Saint-Aubin 1er Cru Sous Roche Dumay 2015,44.0,0.0,0.0,0.4141337358632034
4048,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,22.8,7.0,159.6,-0.3474803902151791
4566,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,28.5,0.0,0.0,-0.1427067808450479
4104,Emile Boeckel Riesling Brandluft 2018,9.7,12.0,116.4,-0.8181004398202175
4786,Maurice Schoech Gewurztraminer 2018,12.1,0.0,0.0,-0.7318799727170043
5902,Stéphane Tissot Arbois Pinot Noir Sous La Tour 2016,35.1,0.0,0.0,0.0943995036887881
3847,Pierre Jean Villa Saint-Joseph Préface 2018,24.2,6.0,145.2,-0.2971851177383048
4870,Triennes IGP Méditerranée Rosé 2019,9.3,33.0,306.9,-0.832470517670753
5062,Lucien Boillot Gevrey Chambertin 2017,45.0,2.0,90.0,0.4500589304895422
4267,Domaine Bulliat Morgon Amphore Cou de Jus 2019,19.0,2.0,38.0,-0.4839961297952666
4287,Domaine Hauvette Les Baux de Provence Cornaline 2014,38.6,1.0,38.6,0.2201376848809739
5000,David Duband Côtes de Nuits Villages 2017,27.3,6.0,163.8,-0.1858170143966545
5608,Domaine Weinbach Gewurztraminer Cuvée Théo 2018,30.5,2.0,61.0,-0.0708563915923703
5616,"Albert Boxler Pinot Noir ""S"" 2016",38.4,2.0,76.8,0.2129526459557061
4615,Alphonse Mellot Sancerre Blanc La Moussière 2018,24.0,7.0,168.0,-0.3043701566635726
6578,Saumaize-Michelin Pouilly-Fuissé Ampélopsis 2016,40.0,7.0,280.0,0.2704329573578482
4139,Zind-Humbrecht Gewurztraminer Grand Cru Rangen De Thann Clos Saint-Urbain 2013,77.4,0.0,0.0,1.6140352363829196
4231,Argentine Mendoza Alamos Malbec 2018,11.1,1.0,11.1,-0.7678051673433431
6127,Moulin de Gassac IGP Pays d'Hérault Rouge Mazet du Levant 2017,10.6,0.0,0.0,-0.7857677646565125
5737,Triennes IGP Méditerranée Rouge Les Auréliens 2016,11.0,9.0,99.0,-0.771397686805977
6584,La Préceptorie Côtes du Roussillon Blanc Coume Marie 2018,13.5,0.0,0.0,-0.6815847002401301
